,0,1,2,3
0,0,1504368001.3363278,1061,740
1,1,1504368001.4363515,972,735
2,2,1504368001.536378,958,615
3,3,1504368001.6364017,988,543
4,4,1504368001.7364254,1289,517
5,5,1504368001.8364494,1712,634
6,6,1504368001.9364755,1836,713
7,7,1504368002.0364978,1832,805
8,8,1504368002.136523,1803,881
9,9,1504368002.2365477,1767,906
10,10,1504368002.3365715,1568,936
11,11,1504368002.4365973,1499,939
12,12,1504368002.5366204,1499,939
13,13,1504368002.6366448,1505,931
14,14,1504368002.7366698,1581,915
15,15,1504368002.8366942,1662,906
16,16,1504368002.936718,1663,907
17,17,1504368003.0367424,1663,910
18,18,1504368003.136768,1663,910
19,19,1504368003.2367923,1660,911
20,20,1504368003.3368158,1588,915
21,21,1504368003.436841,1343,864
22,22,1504368003.536865,1354,841
23,23,1504368003.636889,1583,834
24,24,1504368003.7369156,1638,845
25,25,1504368003.8369384,1629,867
26,26,1504368003.9369626,1595,884
27,27,1504368004.0369875,1590,885
28,28,1504368004.1370122,1590,885
29,29,1504368004.2370358,1590,885
30,30,1504368004.3370602,1590,883
31,31,1504368004.4370847,1590,883
32,32,1504368004.5371096,1590,883
33,33,1504368004.6371338,1590,883
34,34,1504368004.7371583,1590,883
35,35,1504368004.8371837,1590,883
36,36,1504368004.9372067,1590,883
37,37,1504368005.0372338,1590,882
38,38,1504368005.1372557,1590,882
39,39,1504368005.2372801,1652,828
40,40,1504368005.3373065,1828,572
41,41,1504368005.437329,1834,560
42,42,1504368005.5373535,1834,560
43,43,1504368005.6373785,1790,540
44,44,1504368005.7374027,1588,509
45,45,1504368005.8374279,1587,503
46,46,1504368005.9374516,1590,474
47,47,1504368006.0374756,1593,466
48,48,1504368006.1375012,1593,466
49,49,1504368006.237525,1593,462
50,50,1504368006.3375492,1578,360
51,51,1504368006.4375732,1578,349
52,52,1504368006.537598,1583,344
53,53,1504368006.6376243,1588,342
54,54,1504368006.7376475,1590,341
55,55,1504368006.8376718,1621,330
56,56,1504368006.9376962,1625,329
57,57,1504368007.037721,1630,329
58,58,1504368007.1377468,1680,330
59,59,1504368007.237769,1691,337
60,60,1504368007.3377934,1708,350
61,61,1504368007.4378195,1709,352
62,62,1504368007.537842,1711,356
63,63,1504368007.6378665,1713,371
64,64,1504368007.7378936,1718,389
65,65,1504368007.8379154,1739,396
66,66,1504368007.93794,1748,400
67,67,1504368008.0379646,1748,400
68,68,1504368008.1379886,1748,400
69,69,1504368008.2380133,1748,400
70,70,1504368008.3380375,1748,400
71,71,1504368008.4380622,1748,400
72,72,1504368008.5380864,1748,400
73,73,1504368008.638111,1748,400
74,74,1504368008.738136,1748,400
75,75,1504368008.8381596,1748,400
76,76,1504368008.9381855,1748,400
77,77,1504368009.0382097,1748,400
78,78,1504368009.1382332,1748,400
79,79,1504368009.2382574,1748,400
80,80,1504368009.338282,1748,400
81,81,1504368009.4383063,1748,400
82,82,1504368009.5383334,1748,400
83,83,1504368009.638356,1748,409
84,84,1504368009.7383797,1785,532
85,85,1504368009.838405,1815,634
86,86,1504368009.9384286,1829,675
87,87,1504368010.0384555,1835,706
88,88,1504368010.1384776,1836,738
89,89,1504368010.2385018,1786,827
90,90,1504368010.338528,1731,874
91,91,1504368010.4385512,1704,887
92,92,1504368010.5385754,1650,897
93,93,1504368010.6385996,1649,897
94,94,1504368010.738624,1634,902
95,95,1504368010.8386486,1586,910
96,96,1504368010.9386735,1569,914
97,97,1504368011.0386975,1541,919
98,98,1504368011.1387217,1533,921
99,99,1504368011.2387466,1533,921
100,100,1504368011.338773,1533,921
101,101,1504368011.4387958,1533,921
102,102,1504368011.5388198,1533,921
103,103,1504368011.638844,1533,921
104,104,1504368011.73887,1533,921
105,105,1504368011.838893,1533,920
106,106,1504368011.9389179,1637,877
107,107,1504368012.0389416,1783,809
108,108,1504368012.138966,1797,801
109,109,1504368012.2389905,1797,801
110,110,1504368012.339015,1797,804
111,111,1504368012.4390407,1797,803
112,112,1504368012.5390642,1848,718
113,113,1504368012.6390893,1911,615
114,114,1504368012.739113,1920,491
115,115,1504368012.8391373,1888,402
116,116,1504368012.9391634,1873,381
117,117,1504368013.0391865,1817,365
118,118,1504368013.1392105,1685,343
119,119,1504368013.239236,1684,343
120,120,1504368013.3392594,1684,343
121,121,1504368013.4392838,1684,343
122,122,1504368013.539308,1684,343
123,123,1504368013.6393328,1699,341
124,124,1504368013.7393577,1730,338
125,125,1504368013.8393831,1732,338
126,126,1504368013.9394066,1732,338
127,127,1504368014.0394301,1732,338
128,128,1504368014.1394548,1732,338
129,129,1504368014.2394793,1732,338
130,130,1504368014.339504,1732,338
131,131,1504368014.439528,1732,338
132,132,1504368014.5395527,1732,338
133,133,1504368014.6395772,1732,338
134,134,1504368014.7396016,1732,338
135,135,1504368014.8396268,1750,357
136,136,1504368014.9396503,1772,387
137,137,1504368015.039676,1796,427
138,138,1504368015.1396997,1825,512
139,139,1504368015.2397237,1843,623
140,140,1504368015.3397493,1846,717
141,141,1504368015.4397728,1841,759
142,142,1504368015.5397973,1820,827
143,143,1504368015.6398218,1789,883
144,144,1504368015.739846,1766,912
145,145,1504368015.8398702,1751,929
146,146,1504368015.9398947,1742,937
147,147,1504368016.0399191,1742,937
148,148,1504368016.1399438,1720,946
149,149,1504368016.239968,1697,954
150,150,1504368016.3399925,1696,954
151,151,1504368016.440017,1696,954
152,152,1504368016.5400414,1696,954
153,153,1504368016.6400661,1696,954
154,154,1504368016.7400906,1696,954
155,155,1504368016.8401144,1696,954
156,156,1504368016.940139,1696,954
157,157,1504368017.0401635,1696,954
158,158,1504368017.140188,1696,954
159,159,1504368017.2402124,1696,954
160,160,1504368017.3402371,1685,954
161,161,1504368017.4402614,1676,954
162,162,1504368017.5402856,1673,954
163,163,1504368017.6403103,1663,954
164,164,1504368017.7403345,1648,954
165,165,1504368017.84036,1643,950
166,166,1504368017.9403841,1643,914
167,167,1504368018.040408,1656,817
168,168,1504368018.140432,1680,670
169,169,1504368018.2404568,1737,465
170,170,1504368018.3404813,1763,380
171,171,1504368018.4405055,1765,376
172,172,1504368018.5405302,1760,383
173,173,1504368018.6405544,1732,373
174,174,1504368018.7405791,1685,348
175,175,1504368018.8406034,1669,342
176,176,1504368018.940628,1669,342
177,177,1504368019.040652,1669,342
178,178,1504368019.1406767,1669,342
179,179,1504368019.2407012,1669,342
180,180,1504368019.3407257,1669,342
181,181,1504368019.44075,1669,342
182,182,1504368019.5407743,1669,342
183,183,1504368019.6407988,1669,342
184,184,1504368019.7408233,1669,342
185,185,1504368019.8408477,1669,342
186,186,1504368019.940873,1669,342
187,187,1504368020.0408967,1692,369
188,188,1504368020.140921,1707,377
189,189,1504368020.2409456,1709,379
190,190,1504368020.3409698,1711,381
191,191,1504368020.440995,1711,381
192,192,1504368020.5410187,1711,381
193,193,1504368020.6410434,1711,384
194,194,1504368020.7410684,1712,403
195,195,1504368020.841092,1713,439
196,196,1504368020.9411166,1708,482
197,197,1504368021.041141,1697,551
198,198,1504368021.1411655,1662,678
199,199,1504368021.2411897,1621,791
200,200,1504368021.3412144,1594,850
201,201,1504368021.4412386,1577,883
202,202,1504368021.5412633,1569,896
203,203,1504368021.6412876,1561,908
204,204,1504368021.741312,1535,928
205,205,1504368021.8413374,1535,920
206,206,1504368021.941361,1535,920
207,207,1504368022.0413854,1535,920
208,208,1504368022.1414099,1551,916
209,209,1504368022.241434,1589,901
210,210,1504368022.3414586,1601,887
211,211,1504368022.441483,1601,887
212,212,1504368022.5415075,1601,887
213,213,1504368022.6415324,1601,887
214,214,1504368022.7415564,1601,887
215,215,1504368022.8415809,1601,887
216,216,1504368022.941605,1601,887
217,217,1504368023.0416298,1601,887
218,218,1504368023.141654,1601,887
219,219,1504368023.2416787,1601,887
220,220,1504368023.341703,1601,887
221,221,1504368023.4417274,1601,887
222,222,1504368023.5417519,1601,887
223,223,1504368023.6417763,1601,887
224,224,1504368023.7418008,1601,887
225,225,1504368023.8418252,1601,887
226,226,1504368023.9418497,1601,887
227,227,1504368024.041874,1601,889
228,228,1504368024.1418993,1579,908
229,229,1504368024.2419236,1435,941
230,230,1504368024.3419473,1333,939
231,231,1504368024.441972,1277,938
232,232,1504368024.5419962,1301,908
233,233,1504368024.6420207,1597,876
234,234,1504368024.7420454,1664,876
